Domain Code,Domain,Area Code,Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
CP,Consumer Price Indices,104,Ireland,2010,2010,23012,"Consumer Prices, General Indices (2015 = 100)",7001,January,,94.39322,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,104,Ireland,2010,2010,23012,"Consumer Prices, General Indices (2015 = 100)",7002,February,,94.79192,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,104,Ireland,2010,2010,23012,"Consumer Prices, General Indices (2015 = 100)",7003,March,,94.79192,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,104,Ireland,2010,2010,23012,"Consumer Prices, General Indices (2015 = 100)",7004,April,,95.09096,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,104,Ireland,2010,2010,23012,"Consumer Prices, General Indices (2015 = 100)",7005,May,,95.58933,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,104,Ireland,2010,2010,23012,"Consumer Prices, General Indices (2015 = 100)",7006,June,,95.48966,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,104,Ireland,2010,2010,23012,"Consumer Prices, General Indices (2015 = 100)",7007,July,,95.48966,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,104,Ireland,2010,2010,23012,"Consumer Prices, General Indices (2015 = 100)",7008,August,,96.18739,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,104,Ireland,2010,2010,23012,"Consumer Prices, General Indices (2015 = 100)",7009,September,,95.98804,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,104,Ireland,2010,2010,23012,"Consumer Prices, General Indices (2015 = 100)",7010,October,,96.08772,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,104,Ireland,2010,2010,23012,"Consumer Prices, General Indices (2015 = 100)",7011,November,,95.88836,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,104,Ireland,2010,2010,23012,"Consumer Prices, General Indices (2015 = 100)",7012,December,,96.18739,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,104,Ireland,2010,2010,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,,101.917,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,104,Ireland,2010,2010,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,,101.7229,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,104,Ireland,2010,2010,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,,101.5288,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,104,Ireland,2010,2010,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,,101.2376,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,104,Ireland,2010,2010,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,,101.6258,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,104,Ireland,2010,2010,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,,101.7229,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,104,Ireland,2010,2010,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,,102.0141,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,104,Ireland,2010,2010,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,,101.7229,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,104,Ireland,2010,2010,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,,101.5288,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,104,Ireland,2010,2010,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,,101.7229,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,104,Ireland,2010,2010,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,,101.5288,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,104,Ireland,2010,2010,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,,101.917,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,104,Ireland,2010,2010,23014,Food price inflation,7001,January,%,-8.216785,Fc,Calculated data,
CP,Consumer Price Indices,104,Ireland,2010,2010,23014,Food price inflation,7002,February,%,-7.989457,Fc,Calculated data,
CP,Consumer Price Indices,104,Ireland,2010,2010,23014,Food price inflation,7003,March,%,-7.760124,Fc,Calculated data,
CP,Consumer Price Indices,104,Ireland,2010,2010,23014,Food price inflation,7004,April,%,-7.04096,Fc,Calculated data,
CP,Consumer Price Indices,104,Ireland,2010,2010,23014,Food price inflation,7005,May,%,-6.3506,Fc,Calculated data,
CP,Consumer Price Indices,104,Ireland,2010,2010,23014,Food price inflation,7006,June,%,-5.329662,Fc,Calculated data,
CP,Consumer Price Indices,104,Ireland,2010,2010,23014,Food price inflation,7007,July,%,-3.842652,Fc,Calculated data,
CP,Consumer Price Indices,104,Ireland,2010,2010,23014,Food price inflation,7008,August,%,-3.142356,Fc,Calculated data,
CP,Consumer Price Indices,104,Ireland,2010,2010,23014,Food price inflation,7009,September,%,-2.05992,Fc,Calculated data,
CP,Consumer Price Indices,104,Ireland,2010,2010,23014,Food price inflation,7010,October,%,-1.318273,Fc,Calculated data,
CP,Consumer Price Indices,104,Ireland,2010,2010,23014,Food price inflation,7011,November,%,-0.759003,Fc,Calculated data,
CP,Consumer Price Indices,104,Ireland,2010,2010,23014,Food price inflation,7012,December,%,0.190812,Fc,Calculated data,
CP,Consumer Price Indices,104,Ireland,2011,2011,23014,Food price inflation,7012,December,%,1.142891,Fc,Calculated data,
CP,Consumer Price Indices,104,Ireland,2011,2011,23014,Food price inflation,7011,November,%,1.529615,Fc,Calculated data,
CP,Consumer Price Indices,104,Ireland,2011,2011,23014,Food price inflation,7010,October,%,1.335884,Fc,Calculated data,
CP,Consumer Price Indices,104,Ireland,2011,2011,23014,Food price inflation,7009,September,%,1.338339,Fc,Calculated data,
CP,Consumer Price Indices,104,Ireland,2011,2011,23014,Food price inflation,7008,August,%,1.431241,Fc,Calculated data,
CP,Consumer Price Indices,104,Ireland,2011,2011,23014,Food price inflation,7007,July,%,1.04662,Fc,Calculated data,
CP,Consumer Price Indices,104,Ireland,2011,2011,23014,Food price inflation,7006,June,%,0.667893,Fc,Calculated data,
