Domain Code,Domain,Area Code,Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
CP,Consumer Price Indices,21,Brazil,2010,2010,23012,"Consumer Prices, General Indices (2015 = 100)",7001,January,,70.5368,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2010,2010,23012,"Consumer Prices, General Indices (2015 = 100)",7002,February,,71.0869,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2010,2010,23012,"Consumer Prices, General Indices (2015 = 100)",7003,March,,71.45649,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2010,2010,23012,"Consumer Prices, General Indices (2015 = 100)",7004,April,,71.86391,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2010,2010,23012,"Consumer Prices, General Indices (2015 = 100)",7005,May,,72.17294,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2010,2010,23012,"Consumer Prices, General Indices (2015 = 100)",7006,June,,72.17294,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2010,2010,23012,"Consumer Prices, General Indices (2015 = 100)",7007,July,,72.18014,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2010,2010,23012,"Consumer Prices, General Indices (2015 = 100)",7008,August,,72.20891,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2010,2010,23012,"Consumer Prices, General Indices (2015 = 100)",7009,September,,72.53372,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2010,2010,23012,"Consumer Prices, General Indices (2015 = 100)",7010,October,,73.0778,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2010,2010,23012,"Consumer Prices, General Indices (2015 = 100)",7011,November,,73.68427,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2010,2010,23012,"Consumer Prices, General Indices (2015 = 100)",7012,December,,74.14853,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2010,2010,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,,62.37157,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2010,2010,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,,62.9702,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2010,2010,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,,63.94629,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2010,2010,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,,64.87366,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2010,2010,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,,65.05517,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2010,2010,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,,64.46961,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2010,2010,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,,63.97966,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2010,2010,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,,63.82611,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2010,2010,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,,64.51561,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2010,2010,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,,65.73476,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2010,2010,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,,67.19425,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2010,2010,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,,68.08105,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2010,2010,23014,Food price inflation,7001,January,%,3.559127,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2010,2010,23014,Food price inflation,7002,February,%,4.271629,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2010,2010,23014,Food price inflation,7003,March,%,5.571006,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2010,2010,23014,Food price inflation,7004,April,%,6.941614,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2010,2010,23014,Food price inflation,7005,May,%,6.771342,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2010,2010,23014,Food price inflation,7006,June,%,5.074611,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2010,2010,23014,Food price inflation,7007,July,%,4.338587,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2010,2010,23014,Food price inflation,7008,August,%,4.098498,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2010,2010,23014,Food price inflation,7009,September,%,5.370694,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2010,2010,23014,Food price inflation,7010,October,%,7.458832,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2010,2010,23014,Food price inflation,7011,November,%,9.211103,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2010,2010,23014,Food price inflation,7012,December,%,10.387448,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2011,2011,23014,Food price inflation,7012,December,%,7.193353,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2011,2011,23014,Food price inflation,7011,November,%,7.288302,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2011,2011,23014,Food price inflation,7010,October,%,8.498685,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2011,2011,23014,Food price inflation,7009,September,%,9.933177,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2011,2011,23014,Food price inflation,7008,August,%,10.414233,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2011,2011,23014,Food price inflation,7007,July,%,9.361944,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2011,2011,23014,Food price inflation,7006,June,%,8.900845,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2011,2011,23014,Food price inflation,7005,May,%,8.202069,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2011,2011,23014,Food price inflation,7004,April,%,7.825672,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2011,2011,23014,Food price inflation,7003,March,%,8.758585,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2011,2011,23014,Food price inflation,7002,February,%,9.621964,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2011,2011,23014,Food price inflation,7001,January,%,10.420325,Fc,Calculated data,
CP,Consumer Price Indices,21,Brazil,2011,2011,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,,72.97836,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2011,2011,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,,72.09157,X,International reliable sources,base year is 2015
