,Year,country,crop_measurement,crops_type,crops_action,crop_value,import_export_value
0,2017,Ireland,ha,Apples,Area harvested,695.0,615.0
1,2017,Ireland,ha,Apples,Area harvested,695.0,545.0
2,2017,Ireland,ha,Apples,Area harvested,695.0,1985.0
3,2017,Ireland,ha,Apples,Area harvested,695.0,14778.0
4,2017,Ireland,ha,Apples,Area harvested,695.0,17923.0
5,2017,Ireland,ha,Apples,Area harvested,695.0,241.0
6,2017,Ireland,ha,Apples,Area harvested,695.0,190.0
7,2017,Ireland,ha,Apples,Area harvested,695.0,6029.0
8,2017,Ireland,ha,Apples,Area harvested,695.0,46510.0
9,2017,Ireland,ha,Apples,Area harvested,695.0,52971.0
10,2017,Ireland,ha,Apples,Area harvested,695.0,549.0
11,2017,Ireland,ha,Apples,Area harvested,695.0,1329.0
12,2017,Ireland,ha,Apples,Area harvested,695.0,8161.0
13,2017,Ireland,ha,Apples,Area harvested,695.0,19114.0
14,2017,Ireland,ha,Apples,Area harvested,695.0,29152.0
15,2017,Ireland,ha,Apples,Area harvested,695.0,2415.0
16,2017,Ireland,ha,Apples,Area harvested,695.0,2657.0
17,2017,Ireland,ha,Apples,Area harvested,695.0,1822.0
18,2017,Ireland,ha,Apples,Area harvested,695.0,2302.0
19,2017,Ireland,ha,Apples,Area harvested,695.0,9196.0
20,2017,Ireland,ha,Apples,Area harvested,695.0,3658.0
21,2017,Ireland,ha,Apples,Area harvested,695.0,579.0
22,2017,Ireland,ha,Apples,Area harvested,695.0,5166.0
23,2017,Ireland,ha,Apples,Area harvested,695.0,278.0
24,2017,Ireland,ha,Apples,Area harvested,695.0,9681.0
25,2017,Ireland,ha,Apples,Area harvested,695.0,7478.0
26,2017,Ireland,ha,Apples,Area harvested,695.0,5300.0
27,2017,Ireland,ha,Apples,Area harvested,695.0,23162.0
28,2017,Ireland,ha,Apples,Area harvested,695.0,82983.0
29,2017,Ireland,ha,Apples,Area harvested,695.0,2837.0
30,2017,Ireland,ha,Apples,Area harvested,695.0,121759.0
31,2017,Ireland,ha,Apples,Area harvested,695.0,335.0
32,2017,Ireland,ha,Apples,Area harvested,695.0,178.0
33,2017,Ireland,ha,Apples,Area harvested,695.0,109.0
34,2017,Ireland,ha,Apples,Area harvested,695.0,45.0
35,2017,Ireland,ha,Apples,Area harvested,695.0,667.0
36,2017,Ireland,ha,Apples,Area harvested,695.0,65.0
37,2017,Ireland,ha,Apples,Area harvested,695.0,54.0
38,2017,Ireland,ha,Apples,Area harvested,695.0,47.0
39,2017,Ireland,ha,Apples,Area harvested,695.0,34.0
40,2017,Ireland,ha,Apples,Area harvested,695.0,200.0
41,2017,Ireland,ha,Apples,Area harvested,695.0,1005.0
42,2017,Ireland,ha,Apples,Area harvested,695.0,720.0
43,2017,Ireland,ha,Apples,Area harvested,695.0,313.0
44,2017,Ireland,ha,Apples,Area harvested,695.0,90.0
