,date,username,content
0,2022-11-30 22:13:05+00:00,AgrilandIreland,"Fodder Support Scheme payments commence to 71,000 farmers https://t.co/iq6g9pkgTH"
1,2022-11-30 21:38:14+00:00,AgrilandIreland,ICSA will work with food regulator but 'still has misgivings' https://t.co/rnHrKX0yTC
2,2022-11-30 21:25:16+00:00,AgrilandIreland,Food Vision Beef and Sheep Group final report published - https://t.co/JUYYSveA7M https://t.co/5to2nKU7Bg
3,2022-11-30 20:52:35+00:00,AgrilandIreland,Pallaskenry herd: 17 TB reactors after latest tests - https://t.co/JUYYSvwbwm https://t.co/R6TwOFliT2
4,2022-11-30 20:20:10+00:00,AgrilandIreland,Wind farms contributed over €4m to Irish communities in 2021 https://t.co/epfKr5HpKc
5,2022-11-30 19:41:20+00:00,AgrilandIreland,Plans for New Zealand's first zero emissions dairy farm - https://t.co/JUYYSvwbwm https://t.co/mhi8uL1fm5
6,2022-11-30 19:11:22+00:00,AgrilandIreland,EU publishes new proposal on carbon farming - https://t.co/JUYYSvwbwm https://t.co/NImHFCKMCa
7,2022-11-30 18:45:22+00:00,AgrilandIreland,"New report suggests €1,350/cow payment to cut suckler numbers https://t.co/2ggNx15vgt"
8,2022-11-30 18:28:38+00:00,AgrilandIreland,Big hearted Steyr remains compact and light - https://t.co/JUYYSvwbwm https://t.co/HiXbUVFEkB
9,2022-11-30 18:02:06+00:00,AgrilandIreland,Domestic milk intake at 698.5 million litres in October https://t.co/AkmLREkWyL
10,2022-11-30 17:35:38+00:00,AgrilandIreland,ICSA will work with food regulator but 'still has misgivings' https://t.co/oHqFgNG83O
11,2022-11-30 17:17:01+00:00,AgrilandIreland,Latest JCB loader is smallest Loadall yet - https://t.co/JUYYSvwbwm https://t.co/BS0D71s80A
12,2022-11-30 16:59:35+00:00,AgrilandIreland,Wind farms contributed over €4m to Irish communities in 2021 https://t.co/bkRblluL8N
13,2022-11-30 16:41:10+00:00,AgrilandIreland,Food Vision Beef and Sheep Group final report published - https://t.co/JUYYSvwbwm https://t.co/RehzmjXvNq
14,2022-11-30 16:26:12+00:00,AgrilandIreland,Carbon footprint challenges for livestock producers - https://t.co/JUYYSvwbwm https://t.co/oG1rZbxIcS
15,2022-11-30 16:12:48+00:00,AgrilandIreland,IFA land designation team calls for more farmer funding https://t.co/IEhtO0ApIK
16,2022-11-30 16:03:51+00:00,AgrilandIreland,"Looking for the perfect Christmas gift?

👇👇👇
https://t.co/Zwjf56rMnX https://t.co/Ap6BXj6d2l"
17,2022-11-30 15:55:59+00:00,AgrilandIreland,FBD Young Farmer of the Year 2022 revealed - https://t.co/JUYYSvwbwm https://t.co/tBdFJyZWNv
18,2022-11-30 15:40:46+00:00,AgrilandIreland,Interest in offering new vet courses registered across all provinces https://t.co/OMzHzlRJYf
19,2022-11-30 15:25:45+00:00,AgrilandIreland,EU publishes new proposal on carbon farming - https://t.co/JUYYSvwbwm https://t.co/MDnqhtVcea
20,2022-11-30 15:13:31+00:00,AgrilandIreland,IFA land designation team calls for more farmer funding https://t.co/4fAWFMwE6E
21,2022-11-30 15:01:08+00:00,AgrilandIreland,Ibec announces new director of Meat Industry Ireland - https://t.co/JUYYSvwbwm https://t.co/p1pDz5tGWa
22,2022-11-30 14:31:20+00:00,AgrilandIreland,Gardaí investigating the theft of cattle from Kilkenny farm https://t.co/VpJB092P5E
23,2022-11-30 14:16:16+00:00,AgrilandIreland,Calls for a Food Vision Tillage Group to be established - https://t.co/JUYYSvwbwm https://t.co/6XvXLMgHyZ
24,2022-11-30 13:47:52+00:00,AgrilandIreland,Domestic milk intake at 698.5 million litres in October https://t.co/GoIAI9fLpS
25,2022-11-30 13:35:49+00:00,AgrilandIreland,Orientation and maintenance of solar panels - https://t.co/JUYYSvwbwm https://t.co/p2GF4OgjAg
26,2022-11-30 13:22:18+00:00,AgrilandIreland,Latest JCB loader is smallest Loadall yet - https://t.co/JUYYSvwbwm https://t.co/2eyl9ikjRX
27,2022-11-30 13:02:24+00:00,AgrilandIreland,Mixed outlook for spring-calving heifer trade - https://t.co/JUYYSvwbwm https://t.co/abHDu9rMOH
28,2022-11-30 12:35:46+00:00,AgrilandIreland,2022 factory cattle supply set to be highest in 23 years - https://t.co/JUYYSvwbwm https://t.co/lmQq7uEaQR
29,2022-11-30 11:34:23+00:00,AgrilandIreland,Carbon footprint challenges for livestock producers - https://t.co/JUYYSvwbwm https://t.co/hH7PG6q8QF
30,2022-11-30 10:58:56+00:00,AgrilandIreland,Interest in offering new vet courses registered across all provinces https://t.co/in86z5U4cU
31,2022-11-30 10:37:36+00:00,AgrilandIreland,Ibec announces new director of Meat Industry Ireland - https://t.co/JUYYSvwbwm https://t.co/m0gY7Y2yVs
32,2022-11-30 10:15:34+00:00,AgrilandIreland,Gardaí investigating the theft of cattle from Kilkenny farm https://t.co/yEHPmT8yIc
33,2022-11-30 09:46:30+00:00,AgrilandIreland,FBD Young Farmer of the Year 2022 revealed - https://t.co/JUYYSvwbwm https://t.co/JqF9rFVv4V
34,2022-11-30 08:12:02+00:00,AgrilandIreland,Calls for a Food Vision Tillage Group to be established - https://t.co/JUYYSvwbwm https://t.co/twFFu3aJpK
35,2022-11-30 06:59:34+00:00,AgrilandIreland,Mixed outlook for spring-calving heifer trade - https://t.co/JUYYSvwbwm https://t.co/rwHMLmDq7Q
36,2022-11-30 06:34:40+00:00,AgrilandIreland,Orientation and maintenance of solar panels - https://t.co/JUYYSvwbwm https://t.co/bHwj6S3MZS
37,2022-11-30 06:09:03+00:00,AgrilandIreland,2022 factory cattle supply set to be highest in 23 years - https://t.co/JUYYSvwbwm https://t.co/gt34X6NEib
38,2022-11-29 22:18:20+00:00,AgrilandIreland,Equine keepers urged to fully complete census 2022 - https://t.co/JUYYSvwbwm https://t.co/n280BLyk7f
39,2022-11-29 21:57:44+00:00,AgrilandIreland,Bord Bia appoints first organic sector manager https://t.co/IoVA5kH7my
40,2022-11-29 21:32:26+00:00,AgrilandIreland,Improving carbon footprint reporting on farms  #Sponsored  https://t.co/m7GxmsAXZb
41,2022-11-29 21:17:45+00:00,AgrilandIreland,Lakeland Dairies wins further €1m contract with Lidl - https://t.co/JUYYSvwbwm https://t.co/CMVLMSETps
42,2022-11-29 21:05:30+00:00,AgrilandIreland,Seed potato crisis in NI highlighted to minister - https://t.co/JUYYSvwbwm https://t.co/PjrDuJmL7x
43,2022-11-29 20:50:49+00:00,AgrilandIreland,New gene discovery ‘sows hope’ of drought resilience in wheat https://t.co/zyLoV03QAQ
44,2022-11-29 20:32:12+00:00,AgrilandIreland,Tillage: How best to assess and control slugs - https://t.co/JUYYSvwbwm https://t.co/6L9ig0qmMw
45,2022-11-29 20:17:03+00:00,AgrilandIreland,First Women in Farming Conference to take place in February https://t.co/ZYS1hfsdis
46,2022-11-29 20:03:25+00:00,AgrilandIreland,Live animal crib to go ahead at new location in Dublin https://t.co/SaiUoP4GHU https://t.co/QKzbMrVm7H
47,2022-11-29 19:34:30+00:00,AgrilandIreland,ICMSA: Low spring throughput could boost Irish beef prices https://t.co/EsBAegdlCT
48,2022-11-29 19:07:52+00:00,AgrilandIreland,Badgers with worm infections more likely to have TB - study https://t.co/uxuePkgdj8
49,2022-11-29 18:48:52+00:00,AgrilandIreland,Agri-Food Regulator will have 'real teeth' - McConalogue https://t.co/DoTPGRDBnU
50,2022-11-29 18:23:45+00:00,AgrilandIreland,Ireland to provide €30m in response to food crisis in east Africa https://t.co/xqN1JlTcUT
51,2022-11-29 18:03:11+00:00,AgrilandIreland,Online DAERA event to discuss bird flu and biosecurity - https://t.co/JUYYSvwbwm https://t.co/Y3pd4bHL4n
52,2022-11-29 17:40:59+00:00,AgrilandIreland,Equine keepers urged to fully complete census 2022 - https://t.co/JUYYSvwbwm https://t.co/HNpOoclZEl
53,2022-11-29 17:19:04+00:00,AgrilandIreland,Keynote speaker confirmed for ABP farmer info events - https://t.co/JUYYSvwbwm https://t.co/eylwsybrhU
54,2022-11-29 16:50:02+00:00,AgrilandIreland,Rare heritage barley star of new single malt whiskey - https://t.co/JUYYSvwbwm https://t.co/wMOZ9eTHef
55,2022-11-29 16:09:07+00:00,AgrilandIreland,Live animal crib to go ahead at new location in Dublin https://t.co/ToEMG7chgt https://t.co/WHzlGxQAAK
